Unidade do agendamento,Grupo,Mês Atendimento,Procedimentos Padronizados,Quantidade
ALPHAVILLE,ESTÉTICA,Abril,LIMPEZA DE PELE,16
ALPHAVILLE,ESTÉTICA,Abril,DRENAGEM,5
ALPHAVILLE,ESTÉTICA,Abril,PEELING DE DIAMANTE,3
BELO HORIZONTE,ESTÉTICA,Abril,LIMPEZA DE PELE,8
BELO HORIZONTE,ESTÉTICA,Abril,DRENAGEM,7
BELO HORIZONTE,ESTÉTICA,Abril,HECCUS,1
CAMPINAS,ESTÉTICA,Abril,DRENAGEM,29
CAMPINAS,ESTÉTICA,Abril,CARBOXITERAPIA,5
CAMPINAS,ESTÉTICA,Abril,HECCUS,4
COPACABANA,ESTÉTICA,Abril,DRENAGEM,119
COPACABANA,ESTÉTICA,Abril,HECCUS,12
COPACABANA,ESTÉTICA,Abril,CARBOXITERAPIA,8
IPIRANGA,ESTÉTICA,Abril,DRENAGEM,27
IPIRANGA,ESTÉTICA,Abril,CARBOXITERAPIA,11
IPIRANGA,ESTÉTICA,Abril,HECCUS,2
ITAIM,ESTÉTICA,Abril,DRENAGEM,12
ITAIM,ESTÉTICA,Abril,CARBOXITERAPIA,6
ITAIM,ESTÉTICA,Abril,HECCUS,1
JARDINS,ESTÉTICA,Abril,DRENAGEM,28
JARDINS,ESTÉTICA,Abril,CRIOLIPÓLISE,14
JARDINS,ESTÉTICA,Abril,CARBOXITERAPIA,7
LAPA,ESTÉTICA,Abril,DRENAGEM,52
LAPA,ESTÉTICA,Abril,CARBOXITERAPIA,11
LAPA,ESTÉTICA,Abril,HECCUS,7
LONDRINA,ESTÉTICA,Abril,DRENAGEM,8
LONDRINA,ESTÉTICA,Abril,CARBOXITERAPIA,7
LONDRINA,ESTÉTICA,Abril,HECCUS,1
MOEMA,ESTÉTICA,Abril,DRENAGEM,20
MOEMA,ESTÉTICA,Abril,HECCUS,19
MOEMA,ESTÉTICA,Abril,CARBOXITERAPIA,8
MOOCA,ESTÉTICA,Abril,DRENAGEM,14
MOOCA,ESTÉTICA,Abril,HECCUS,4
MOOCA,ESTÉTICA,Abril,CARBOXITERAPIA,3
OSASCO,ESTÉTICA,Abril,DRENAGEM,26
OSASCO,ESTÉTICA,Abril,CARBOXITERAPIA,3
OSASCO,ESTÉTICA,Abril,HECCUS,3
RIBEIRÃO PRETO,ESTÉTICA,Abril,CARBOXITERAPIA,2
RIBEIRÃO PRETO,ESTÉTICA,Abril,DRENAGEM,2
RIBEIRÃO PRETO,ESTÉTICA,Abril,HIDRATAÇÃO,2
SANTO AMARO,ESTÉTICA,Abril,DRENAGEM,21
SANTO AMARO,ESTÉTICA,Abril,CARBOXITERAPIA,11
SANTO AMARO,ESTÉTICA,Abril,CRIOLIPÓLISE,2
SANTOS,ESTÉTICA,Abril,DRENAGEM,24
SANTOS,ESTÉTICA,Abril,CARBOXITERAPIA,16
SANTOS,ESTÉTICA,Abril,CRIOLIPÓLISE,8
SOROCABA,ESTÉTICA,Abril,DRENAGEM,13
SOROCABA,ESTÉTICA,Abril,HIDRATAÇÃO,3
SOROCABA,ESTÉTICA,Abril,CARBOXITERAPIA,1
SÃO BERNARDO,ESTÉTICA,Abril,LIMPEZA DE PELE,2
SÃO BERNARDO,ESTÉTICA,Abril,PEELING DE DIAMANTE,1
SÃO BERNARDO,ESTÉTICA,Agosto,CARBOXITERAPIA,1
TATUAPÉ,ESTÉTICA,Abril,DRENAGEM,34
TATUAPÉ,ESTÉTICA,Abril,CARBOXITERAPIA,18
TATUAPÉ,ESTÉTICA,Abril,CRIOLIPÓLISE,3
TIJUCA,ESTÉTICA,Abril,DRENAGEM,96
TIJUCA,ESTÉTICA,Abril,CRIOLIPÓLISE,17
TIJUCA,ESTÉTICA,Abril,CARBOXITERAPIA,3
TUCURUVI,ESTÉTICA,Abril,DRENAGEM,8
TUCURUVI,ESTÉTICA,Abril,CARBOXITERAPIA,6
TUCURUVI,ESTÉTICA,Abril,CRIOLIPÓLISE,1
VILA MASCOTE,ESTÉTICA,Agosto,LIMPEZA DE PELE,1
VILA MASCOTE,ESTÉTICA,Julho,DRENAGEM,1
VILA MASCOTE,ESTÉTICA,Maio,DRENAGEM,1
